rxn.number,site,e.donor,e.acceptor,e.transfer,LogK,logQ,deltaG,energy_density
9,D6,acetate,goethite,8,82.55248566393794,86.651,2.780461532373626,NaN
10,D1,acetate,lepidocrocite,8,101.00044700174868,71.9801,-19.687611626613293,-3.88150696645694
10,D2,acetate,lepidocrocite,8,100.09871269950804,71.8278,-19.17919001879149,-3.952569738030696
10,D3,acetate,lepidocrocite,8,98.49912915589198,69.15690000000001,-19.90597878948453,-4.201516463022304
10,D4,acetate,lepidocrocite,8,95.93591347366964,44.430500000000016,-34.94164205123533,-3.912356689592536
10,D5,acetate,lepidocrocite,8,92.38221288376144,51.62850000000001,-27.647611227724273,-3.8904423860747954
10,D6,acetate,lepidocrocite,8,96.33554374910096,86.651,-6.57006396587044,-4.6340304021465615
11,D1,CH4,ferrihydrite,8,120.37938803438351,78.6639,-28.300086390630977,-7.856712238718924
11,D2,CH4,ferrihydrite,8,119.31207441257845,78.5118,-27.67919890295213,-7.997846483473299
11,D3,CH4,ferrihydrite,8,117.41766624768024,74.2449,-29.288714386484443,-6.901599691039787
11,D4,CH4,ferrihydrite,8,114.37888854509117,48.36030000000002,-44.78748415153741,-5.700943332504897
11,D5,CH4,ferrihydrite,8,110.15894035507665,56.01520000000001,-36.731501937544245,-6.1027613131507135
11,D6,CH4,ferrihydrite,8,114.85292772428801,90.6141,-16.443794641442924,-5.278397955550472
12,D1,CH4,goethite,8,83.9844036341766,78.6639,-3.609467839972476,-8.751056823357418
12,D2,CH4,goethite,8,83.21553502550933,78.5118,-3.1910475905455415,-8.936066718790759
12,D3,CH4,goethite,8,81.85034847905854,74.2449,-5.159590817191081,-7.655684738853859
12,D4,CH4,goethite,8,79.65950005838965,48.36030000000002,-21.233601890980704,-6.0250763294941985
12,D5,CH4,goethite,8,76.61587699709742,56.01520000000001,-13.975647084430827,-6.522428074769505
12,D6,CH4,goethite,8,80.00132692063033,90.6141,7.1997814035585614,NaN
13,D1,CH4,lepidocrocite,8,98.4036233800382,78.6639,-13.391569973286419,-8.181668505081648
13,D2,CH4,lepidocrocite,8,97.51146385251707,78.5118,-12.889508279898228,-8.329763650171822
13,D3,CH4,lepidocrocite,8,95.92796428118152,74.2449,-14.709946384068719,-7.2006889102191405
13,D4,CH4,lepidocrocite,8,93.38823773977526,48.36030000000002,-30.54727603755396,-5.867127510613014
